"order_item_id","created_at","order_id","product_id","product_name","is_primary_item","price_usd","cogs_usd","profit"
1,2012-03-19,1,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
2,2012-03-19,2,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
3,2012-03-20,3,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
4,2012-03-20,4,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
5,2012-03-20,5,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
6,2012-03-20,6,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
7,2012-03-20,7,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
8,2012-03-20,8,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
9,2012-03-21,9,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
10,2012-03-21,10,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
11,2012-03-21,11,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
12,2012-03-21,12,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
13,2012-03-21,13,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
14,2012-03-21,14,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
15,2012-03-21,15,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
16,2012-03-21,16,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
17,2012-03-21,17,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
18,2012-03-22,18,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
19,2012-03-22,19,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
20,2012-03-22,20,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
21,2012-03-22,21,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
22,2012-03-23,22,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
23,2012-03-23,23,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
24,2012-03-23,24,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
25,2012-03-24,25,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
26,2012-03-25,26,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
27,2012-03-25,27,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
28,2012-03-25,28,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
29,2012-03-25,29,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
30,2012-03-26,30,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
31,2012-03-26,31,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
32,2012-03-26,32,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
33,2012-03-26,33,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
34,2012-03-26,34,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
35,2012-03-26,35,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
36,2012-03-26,36,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
37,2012-03-26,37,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
38,2012-03-26,38,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
39,2012-03-27,39,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
40,2012-03-27,40,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
41,2012-03-28,41,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
42,2012-03-28,42,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
43,2012-03-28,43,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
44,2012-03-28,44,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
45,2012-03-28,45,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
46,2012-03-29,46,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
47,2012-03-29,47,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
48,2012-03-29,48,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
49,2012-03-30,49,1,The Original Mr. Fuzzy,1,49.99,19.49,30.50
